id,danceability,popularity
0,0.676,73
1,0.42,55
2,0.438,57
3,0.266,71
4,0.618,82
5,0.688,58
6,0.407,74
7,0.703,80
8,0.625,74
9,0.442,56
10,0.627,74
11,0.483,69
12,0.489,52
13,0.691,62
14,0.755,56
15,0.489,58
16,0.706,56
17,0.795,54
18,0.625,68
19,0.717,67
20,0.703,75
21,0.678,63
22,0.407,70
23,0.572,0
24,0.796,0
25,0.755,1
26,0.62,0
27,0.633,0
28,0.62,0
29,0.62,0
30,0.62,0
31,0.62,0
32,0.593,0
33,0.296,0
34,0.296,0
35,0.296,0
36,0.409,0
37,0.501,0
38,0.606,0
39,0.409,0
40,0.474,0
41,0.568,0
42,0.568,0
43,0.568,0
44,0.476,0
45,0.568,0
46,0.568,0
47,0.568,0
48,0.568,0
49,0.568,0
50,0.596,46
51,0.373,61
52,0.494,60
53,0.447,68
54,0.576,52
55,0.536,62
56,0.526,51
57,0.501,0
58,0.27,67
59,0.731,57
60,0.375,75
61,0.43,62
62,0.616,66
63,0.705,64
64,0.582,62
65,0.549,58
66,0.787,65
67,0.397,67
68,0.548,65
69,0.787,44
70,0.484,55
71,0.382,70
72,0.541,57
73,0.607,56
74,0.417,56
75,0.572,67
76,0.709,62
77,0.537,45
78,0.602,64
79,0.643,65
80,0.451,0
81,0.546,0
82,0.561,68
83,0.479,0
84,0.479,0
85,0.436,61
86,0.551,70
87,0.409,0
88,0.409,0
89,0.6,62
90,0.492,0
91,0.492,0
92,0.447,0
93,0.492,0
94,0.492,0
95,0.492,0
96,0.492,0
97,0.492,0
98,0.661,0
99,0.603,0
100,0.626,58
101,0.794,50
102,0.52,59
103,0.545,57
104,0.728,60
105,0.66,61
106,0.357,49
107,0.479,55
108,0.592,51
109,0.7,46
110,0.402,57
111,0.507,58
112,0.619,51
113,0.404,63
114,0.418,53
115,0.633,60
116,0.565,47
117,0.664,60
118,0.585,66
119,0.65,67
120,0.534,43
121,0.456,54
122,0.409,60
123,0.502,49
124,0.496,57
125,0.585,42
126,0.582,67
127,0.637,61
128,0.672,71
129,0.422,49
130,0.47,61
131,0.564,61
132,0.521,20
133,0.616,22
134,0.615,35
135,0.478,60
136,0.479,59
137,0.587,73
138,0.514,22
139,0.646,19
140,0.57,24
141,0.678,57
142,0.589,35
143,0.626,20
144,0.686,18
145,0.56,19
146,0.619,23
147,0.56,19
148,0.595,18
149,0.438,65
150,0.582,55
151,0.453,47
152,0.636,56
153,0.639,53
154,0.69,49
155,0.599,51
156,0.519,53
157,0.643,66
158,0.573,56
159,0.654,47
160,0.426,51
161,0.505,55
162,0.693,60
163,0.739,40
164,0.453,58
165,0.606,55
166,0.595,50
167,0.736,52
168,0.479,54
169,0.583,73
170,0.549,38
171,0.418,53
172,0.498,55
173,0.769,41
174,0.434,46
175,0.452,63
176,0.544,66
177,0.662,54
178,0.497,62
179,0.528,57
180,0.461,68
181,0.483,62
182,0.392,53
183,0.42,44
184,0.657,57
185,0.495,52
186,0.55,53
187,0.534,53
188,0.378,55
189,0.606,66
190,0.486,49
191,0.577,60
192,0.59,38
193,0.538,67
194,0.447,57
195,0.401,60
196,0.502,64
197,0.678,0
198,0.65,0
199,0.649,0
200,0.523,61
201,0.538,50
202,0.519,47
203,0.585,58
204,0.578,30
205,0.223,52
206,0.382,55
207,0.642,67
208,0.436,45
209,0.702,56
210,0.593,37
211,0.285,54
212,0.636,66
213,0.698,63
214,0.601,58
215,0.332,55
216,0.386,65
217,0.62,69
218,0.394,44
219,0.59,39
220,0.539,54
221,0.543,44
222,0.62,70
223,0.761,64
224,0.674,40
225,0.429,47
226,0.456,40
227,0.647,55
228,0.322,57
229,0.482,48
230,0.393,54
231,0.423,53
232,0.522,60
233,0.547,54
234,0.504,62
235,0.466,51
236,0.619,61
237,0.596,51
238,0.645,63
239,0.522,65
240,0.681,64
241,0.736,57
242,0.451,54
243,0.371,37
244,0.731,63
245,0.69,53
246,0.594,0
247,0.608,36
248,0.687,0
249,0.687,0
250,0.652,55
251,0.765,57
252,0.589,54
253,0.588,44
254,0.735,51
255,0.655,42
256,0.363,47
257,0.473,54
258,0.676,73
259,0.41,56
260,0.439,56
261,0.582,59
262,0.426,57
263,0.696,56
264,0.549,57
265,0.541,51
266,0.662,48
267,0.665,52
268,0.591,54
269,0.489,55
270,0.618,41
271,0.664,49
272,0.408,37
273,0.623,52
274,0.494,58
275,0.374,48
276,0.559,56
277,0.642,46
278,0.48,55
279,0.271,54
280,0.594,57
281,0.574,49
282,0.647,55
283,0.486,51
284,0.734,39
285,0.711,60
286,0.629,60
287,0.615,53
288,0.503,64
289,0.45,34
290,0.525,50
291,0.555,65
292,0.678,56
293,0.555,57
294,0.586,43
295,0.588,64
296,0.724,58
297,0.567,64
298,0.544,35
299,0.555,36
300,0.69,54
301,0.513,43
302,0.494,49
303,0.634,55
304,0.694,54
305,0.643,55
306,0.422,39
307,0.543,51
308,0.332,52
309,0.43,56
310,0.432,48
311,0.592,41
312,0.733,40
313,0.394,57
314,0.41,53
315,0.48,30
316,0.255,49
317,0.524,26
318,0.464,53
319,0.659,52
320,0.592,51
321,0.467,35
322,0.564,54
323,0.498,50
324,0.386,53
325,0.702,48
326,0.747,49
327,0.522,35
328,0.715,60
329,0.642,65
330,0.354,52
331,0.447,57
332,0.687,59
333,0.588,50
334,0.456,49
335,0.512,54
336,0.582,52
337,0.568,46
338,0.71,62
339,0.574,32
340,0.64,33
341,0.669,58
342,0.615,57
343,0.415,34
344,0.565,55
345,0.586,33
346,0.564,33
347,0.543,0
348,0.543,0
349,0.543,0
350,0.638,52
351,0.515,21
352,0.622,50
353,0.44,55
354,0.457,46
355,0.649,56
356,0.495,40
357,0.71,21
358,0.69,55
359,0.596,50
360,0.66,41
361,0.733,44
362,0.589,57
363,0.686,33
364,0.659,56
365,0.732,32
366,0.522,35
367,0.565,55
368,0.474,33
369,0.543,46
370,0.672,38
371,0.515,65
372,0.759,60
373,0.62,54
374,0.497,37
375,0.644,34
376,0.45,55
377,0.548,51
378,0.521,48
379,0.587,34
380,0.543,51
381,0.742,54
382,0.707,32
383,0.52,54
384,0.392,61
385,0.531,55
386,0.681,55
387,0.569,34
388,0.707,33
389,0.519,45
390,0.608,33
391,0.585,34
392,0.527,34
393,0.495,49
394,0.628,33
395,0.639,62
396,0.245,33
397,0.387,31
398,0.539,32
399,0.487,32
400,0.529,54
401,0.666,50
402,0.451,58
403,0.359,49
404,0.403,52
405,0.693,49
406,0.598,53
407,0.596,54
408,0.589,50
409,0.735,57
410,0.605,53
411,0.612,57
412,0.568,49
413,0.451,52
414,0.595,51
415,0.307,46
416,0.3,41
417,0.731,57
418,0.545,50
419,0.356,42
420,0.432,47
421,0.693,55
422,0.624,56
423,0.423,49
424,0.555,50
425,0.496,56
426,0.671,52
427,0.379,50
428,0.499,53
429,0.649,33
430,0.746,54
431,0.393,50
432,0.629,54
433,0.458,55
434,0.452,32
435,0.616,33
436,0.619,50
437,0.634,56
438,0.549,63
439,0.292,48
440,0.504,54
441,0.636,31
442,0.486,31
443,0.396,60
444,0.578,67
445,0.684,33
446,0.623,32
447,0.228,31
448,0.809,0
449,0.482,31
450,0.425,45
451,0.298,56
452,0.468,45
453,0.507,42
454,0.515,46
455,0.565,50
456,0.635,45
457,0.657,56
458,0.459,43
459,0.391,39
460,0.371,53
461,0.453,45
462,0.627,32
463,0.706,53
464,0.724,54
465,0.535,51
466,0.658,55
467,0.711,33
468,0.504,55
469,0.309,46
470,0.628,30
471,0.49,46
472,0.316,60
473,0.47,51
474,0.515,47
475,0.493,60
476,0.589,51
477,0.313,60
478,0.302,52
479,0.643,54
480,0.482,52
481,0.539,51
482,0.707,30
483,0.707,30
484,0.661,62
485,0.523,64
486,0.572,57
487,0.554,31
488,0.726,71
489,0.501,31
490,0.505,30
491,0.415,30
492,0.458,30
493,0.474,30
494,0.444,30
495,0.566,59
496,0.367,30
497,0.258,30
498,0.568,63
499,0.571,30
500,0.385,44
501,0.588,54
502,0.276,28
503,0.664,47
504,0.506,41
505,0.595,43
506,0.644,65
507,0.607,53
508,0.63,47
509,0.689,55
510,0.473,45
511,0.62,69
512,0.751,37
513,0.62,34
514,0.478,53
515,0.376,31
516,0.403,31
517,0.44,47
518,0.407,45
519,0.385,51
520,0.429,51
521,0.609,31
522,0.721,48
523,0.675,48
524,0.403,51
525,0.627,55
526,0.403,32
527,0.449,54
528,0.589,60
529,0.789,47
530,0.663,29
531,0.498,51
532,0.586,41
533,0.444,48
534,0.606,61
535,0.745,60
536,0.526,45
537,0.614,58
538,0.473,29
539,0.439,57
540,0.665,29
541,0.534,49
542,0.457,30
543,0.5,30
544,0.448,31
545,0.699,29
546,0.564,59
547,0.404,30
548,0.501,30
549,0.461,29
550,0.675,55
551,0.505,49
552,0.547,50
553,0.589,55
554,0.503,49
555,0.611,32
556,0.55,53
557,0.656,46
558,0.524,23
559,0.34,41
560,0.598,49
561,0.514,59
562,0.448,43
563,0.441,31
564,0.636,46
565,0.445,50
566,0.435,41
567,0.656,48
568,0.609,36
569,0.448,44
570,0.545,56
571,0.626,29
572,0.572,52
573,0.368,31
574,0.51,47
575,0.55,56
576,0.487,37
577,0.309,24
578,0.38,23
579,0.716,28
580,0.407,51
581,0.657,51
582,0.534,51
583,0.603,50
584,0.725,31
585,0.448,30
586,0.595,31
587,0.686,29
588,0.693,61
589,0.71,28
590,0.691,55
591,0.642,29
592,0.48,30
593,0.785,29
594,0.668,30
595,0.758,29
596,0.49,29
597,0.389,30
598,0.387,29
599,0.408,28
600,0.486,42
601,0.638,49
602,0.522,53
603,0.49,50
604,0.674,52
605,0.778,36
606,0.259,49
607,0.408,40
608,0.663,51
609,0.625,41
610,0.529,55
611,0.57,52
612,0.566,51
613,0.598,49
614,0.713,54
615,0.547,46
616,0.806,45
617,0.548,30
618,0.643,53
619,0.428,48
620,0.432,52
621,0.366,51
622,0.325,59
623,0.46,53
624,0.613,47
625,0.492,28
626,0.57,30
627,0.494,29
628,0.74,48
629,0.49,52
630,0.465,28
631,0.477,51
632,0.411,53
633,0.592,52
634,0.439,42
635,0.659,29
636,0.373,29
637,0.236,60
638,0.337,51
639,0.462,28
640,0.51,27
641,0.56,28
642,0.711,58
643,0.759,54
644,0.38,28
645,0.598,29
646,0.651,28
647,0.306,28
648,0.469,28
649,0.442,28
650,0.592,52
651,0.698,46
652,0.396,47
653,0.559,39
654,0.52,50
655,0.231,43
656,0.807,30
657,0.619,53
658,0.605,51
659,0.529,31
660,0.459,29
661,0.515,43
662,0.46,55
663,0.829,50
664,0.524,30
665,0.626,46
666,0.491,46
667,0.586,52
668,0.653,44
669,0.558,51
670,0.45,53
671,0.254,47
672,0.625,48
673,0.518,56
674,0.591,48
675,0.609,47
676,0.524,29
677,0.71,28
678,0.578,28
679,0.748,67
680,0.399,29
681,0.625,56
682,0.64,54
683,0.446,25
684,0.444,49
685,0.408,28
686,0.658,28
687,0.427,29
688,0.549,53
689,0.284,28
690,0.522,28
691,0.719,28
692,0.544,28
693,0.672,28
694,0.573,28
695,0.495,28
696,0.48,29
697,0.57,0
698,0.57,0
699,0.612,0
700,0.401,32
701,0.759,35
702,0.737,49
703,0.639,52
704,0.532,31
705,0.656,28
706,0.597,48
707,0.496,48
708,0.613,41
709,0.61,47
710,0.63,28
711,0.659,60
712,0.559,47
713,0.804,30
714,0.637,49
715,0.795,51
716,0.57,50
717,0.565,28
718,0.776,51
719,0.328,45
720,0.438,54
721,0.546,54
722,0.424,57
723,0.586,27
724,0.532,57
725,0.735,55
726,0.315,30
727,0.625,27
728,0.594,41
729,0.414,28
730,0.615,57
731,0.381,51
732,0.466,27
733,0.636,27
734,0.545,58
735,0.532,27
736,0.615,27
737,0.664,27
738,0.466,28
739,0.342,27
740,0.583,28
741,0.699,30
742,0.645,28
743,0.577,28
744,0.529,28
745,0.455,27
746,0.455,27
747,0.662,27
748,0.486,28
749,0.285,27
750,0.673,65
751,0.753,49
752,0.639,52
753,0.748,39
754,0.458,38
755,0.483,45
756,0.64,41
757,0.483,49
758,0.512,28
759,0.817,51
760,0.505,35
761,0.591,54
762,0.474,48
763,0.427,60
764,0.563,57
765,0.354,45
766,0.514,34
767,0.285,40
768,0.802,46
769,0.614,42
770,0.63,36
771,0.543,16
772,0.397,46
773,0.686,26
774,0.654,52
775,0.747,26
776,0.277,50
777,0.54,60
778,0.444,50
779,0.676,61
780,0.664,26
781,0.717,27
782,0.517,28
783,0.595,55
784,0.337,45
785,0.746,26
786,0.71,28
787,0.585,48
788,0.673,27
789,0.491,27
790,0.643,26
791,0.495,28
792,0.582,28
793,0.463,28
794,0.5,29
795,0.709,27
796,0.434,28
797,0.424,27
798,0.606,60
799,0.488,28
800,0.782,48
801,0.664,43
802,0.601,54
803,0.652,49
804,0.47,45
805,0.673,27
806,0.655,52
